name,price,discount_rate,product_description,image_name
Đồ chơi mô hình đoàn tàu có đèn và nhạc 2055-3,190000,0,"Thương hiệu: BBT GLOBAL
Kích thước hộp: 46*30*2cm
Chất liệu: nhựa nguyên sinh an toàn cho bé
Chiếc tàu kéo thêm 2 toa phía sau có sử dụng pin
",2055-3-do-choi-mo-hinh-duong-tau-co-dung-pin-medium.jpg
Đồ chơi xếp hình 3D nam châm ráp ô tô BBT Global 689B,209000,0,"Thương hiệu: BBT Global
Độ tuổi: 3
Với 14 chi tiết cho bé lắp 2 chiếc xe ô tô xinh xắn
Chất liệu: nhựa nguyên sinh an toàn cho bé, cạnh có nam châm giúp các chi tiết liên kết với nhau
",689b-do-choi-xep-hinh-cho-be-1-medium.jpg
Bộ xếp hình gạch khổng lồ Hàn Quốc cho bé HN993,3740000,0,"Hãng sản xuất: Heanim Hàn Quốc
Giá chưa bao gồm VAT
Số chi tiết: 74 chi tiết khổng lồ
Với bộ xếp hình khổng lồ này, bé có thể xếp cho mình cực nhiều kiểu không gian thật sự thật tuyệt vời
Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết bị khu vui chơi giải trí, website:babycuatoi.vn- thietbivuichoi.vn
",hn993-do-choi-xep-hinh-1-medium.jpg
Xếp hình thông minh xe cứu hỏa BBT Global 5126,156000,30,"Thương hiệu: BBT Global
Số gạch xếp: 13 viên
Xếp hình thông minh BBT Global được làm từ nhựa nguyên sinh nhập khẩu từ Hàn Quốc, sản xuất trên dây truyền công nghệ hiện đại của Châu Âu
Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết bị khu vui chơi giải trí, website:babycuatoi.vn- thietbivuichoi.vn
",5126-do-choi-xep-hinh-cho-be-1-medium.jpg
Đồ chơi xếp hình cung điện Elsa SW803,173000,0,"Thương hiệu: BBTGlobal
Gồm 216 chi tiết dành cho bé xếp hình lâu đài băng tuyết của công chúa ELSA trong bộ phim hoạt hình nổi tiếng FROZEN
Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết bị khu vui chơi giải trí, website:babycuatoi.vn
",sw803-do-choi-xep-hinh-cho-be-1-medium.jpg
Bộ bàn chơi LEGO đa năng kèm 61 chi tiết xếp hình 669-40,366000,0,"Thương hiệu: BBT GLOBAL
Kích thước bàn: 48.5*30.5*27.5cm
Chất liệu: nhựa nguyên sinh an toàn cho bé
Dành cho bé 2
Bàn chơi lego đa năng cho bé ngồi học, ngồi ăn, chơi đồ chơi nước
Mặt bàn có nhiều ngăn rộng cho bé cất đồ chơi sau khi chơi xong
",669-40-ban-xep-hinh-lego-cho-be-9-medium.jpg
Mô hình công viên trò chơi tốc độ 2166A,209000,30,"Thương hiệu: BBTGlobal
Độ tuổi sử dụng: 3+, gồm nhiều chi tiết cho bé thỏa thích sáng tạo
Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết bị khu vui chơi giải trí, website:babycuatoi.vn - thietbivuichoi.vn
",2166a-do-choi-xep-hinh-cho-be-medium.jpg
Đồ chơi xếp hình 3D nam châm 70 chi tiết BBT Global 689-29,282000,20,"Thương hiệu: BBT Global
Độ tuổi: 3
Với 70 chi tiết cho bé thỏa sức xếp hình ngôi nhà, vòng quay mặt trời...
Chất liệu: nhựa nguyên sinh an toàn cho bé, cạnh có nam châm giúp các chi tiết liên kết với nhau
",689-29-do-choi-xep-hinh-cho-be-2-2-medium.jpg
Xếp hình thông minh mô hình cảnh sát 5130,221000,0,"Thương hiệu: BBT Global
Bao gồm : 21 chi tiết xếp hình
Độ tuổi : 3+
Kích thước hộp: 32-28,5-9cm
Chất liệu: nhựa nguyên sinh an toàn cho bé
",5130-do-choi-xep-hinh-cho-be-1-3-medium.jpg
Bộ đồ chơi xếp hình cao cấp kỹ sư công trình CGBX4115,95000,0,"Thương hiệu: BBT Global
KT hộp: 20*16*5cm Với 115 chi tiết nhỏ để bé thỏa sức sáng tạo, rèn luyện tư duyƯ
Độ tuổi sử dụng: 6+
Xếp hình thông minh được làm từ nhựa nguyên sinh nhập khẩu từ Hàn Quốc, sản xuất trên dây truyền công nghệ hiện đại của Châu Âu
Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết bị khu vui chơi giải
",cgbx4115-do-choi-xep-hinh-cho-be-medium.jpg
